Sentence #,chittagong_word,bio_tag
,সমর্তন,O
,গরি,O
Sentence: 475,বাংলাদেশ,B-ORG
,ক্রিকেট,I-ORG
,দল,I-ORG
,শক্তিশালি,O
,দল্লিনঅর,B-ORG
,মদ্ধে,O
,এক্কান,O
Sentence: 476,মেগনা,B-LOC
,বাংলাদেশঅর,B-LOC
,এক্কান,O
,ফ্রদান,O
,নদি,I-LOC
Sentence: 477,নিল,B-LOC
,নদ,I-LOC
,আফ্রিকার,B-LOC
,ফ্রদান,O
,নদির,B-LOC
,এক্কান,O
Sentence: 478,নিল,B-COL
,আসসান,O
,অর,O
,নিচে,O
,তোঁয়ার,O
,আত,O
,দরি,O
,আইটত,O
,চায়,O
Sentence: 479,তোঁয়ার,O
,ফোয়ারে,O
,নিল,O
,আসসান,O
,অর,O
,নিচে,O
,বই,O
,গল্ফ,O
,গইরতো,O
,চায়,O
Sentence: 480,আমাযন,B-LOC
,নদি,I-LOC
,দুনিয়ার,B-LOC
,বেজ্ঞুনরতুন,O
,বরা,O
,ডর,O
,নদি,B-LOC
Sentence: 481,আস্সান,O
,অর,O
,নিল,B-COL
,রং,I-COL
,ইবা,O
,অসাদারন,O
Sentence: 482,আস্সান,O
,অর,O
,তারাগুন,O
,আঁরারে,O
,আশা,O
,দে,O
Sentence: 483,আসসানে,O
,মিয়ালার,O
,লাই,O
,যর,O
,ফরের,O
Sentence: 484,মাচ্চুন,B-ANI
,ফানির,O
,মাযে,O
,সুন্দর,O
Sentence: 485,তুঁই,O
,এডে,O
,তাকিলে,O
,আঁই,O
,কুশি,O
Sentence: 486,আঁই,O
,বেইন্না,O
,গুম,O
,যাই,O
,উডি,O
Sentence: 487,আঁর,O
,লাল,B-COL
,রং,I-COL
,অর,O
,গারিয়ান,B-OBJ
,গত,O
,হালিয়া,O
,চুরি,O
,অইয়্যে,O
Sentence: 488,আঁর,O
,গর,O
,অত,O
,গতহালিয়া,O
,রাইত,O
,অত,O
,চুরি,O
,অইয়্যে,O
Sentence: 489,আঁর,O
,গারির,B-OBJ
,রং,B-COL
,হালা,I-COL
Sentence: 490,সহয,O
,বাসাত,O
,হতা,O
,হওয়া,O
,উচিত,O
Sentence: 491,আঁই,O
,অনর,O
,ফোয়ারে,O
,আচু,O
Sentence: 492,আঁর,O
,আব্বু,B-ROLE
,বিদেশ,B-LOC
,তাকে,O
Sentence: 493,আঁর,O
,চোড,B-REL
,ভাই,I-REL
,দুইমাস,O
,ফর,O
,বিদেশত,B-LOC
,ফরালেহা,O
,গইরতো,O
,যাইবো,O
Sentence: 494,আঁর,O
,বরবইন,B-REL
,আঁরে,O
,বউত,O
,বালবাসে,O
Sentence: 495,আঁর,O
,বর,B-REL
,বইনকে,I-REL
,আই,O
,বউত,O
,বালবাসি,O
Sentence: 496,অনর,O
,বর,B-REL
,বইনর,I-REL
,কি,O
,বিয়া,O
,অই,O
,গেইয়্যুয়,O
,নে,O
Sentence: 497,তোর,O
,বর,B-REL
,বাইয়ের,I-REL
,নাম,O
,কি,O
Sentence: 498,তোর,O
,বর,B-REL
,বাইয়ের,I-REL
,ফোয়ারে,O
,আঁর,O
,বিয়ার,O
,হতা,O
,চলের,O
Sentence: 499,বিদেশ,B-LOC
,অত,O
,গুইরতো,O
,যাওয়া,O
,আঁর,O
,সপ্ন,O
Sentence: 500,আঁই,O
,হন,O
,অত্তে,O
,তোঁয়ারে,O
,ন,O
,বুইল্লম,O
Sentence: 501,তুঁই,O
,আঁর,O
,যিবনর,O
,আলো,O
Sentence: 502,বেইন্না,O
,ফরাশুনা,O
,গরা,O
,বালা,O
Sentence: 503,ফরিক্কার,O
,লাই,O
,বেইন্না,O
,ফরাশোনা,O
,গরা,O
,বালো,O
Sentence: 504,বেইন্না,O
,ফরাশুনা,O
,গরি,O
,ফত্তিন,O
,শুরু,O
,গরা,O
,গম,O
Sentence: 505,বেইন্না,O
,ফরাশুনা,O
,গরি,O
,আঁই,O
,আরাম,O
,গরি,O
,মনোযোগ,O
,দিত,O
,ফারি,O
Sentence: 506,বেইন্না,O
,ফ,O
,য,O
,রত,O
,ফরাশোনা,O
,শুরা,O
,গরা,O
,বালো,O
Sentence: 507,বউদ্দিন,O
,আগে,O
,এক,O
,গেরামঅত,B-LOC
,এক,O
,টুফিওয়ালা,B-ROLE
,আচিল,O
Sentence: 508,ইবা,O
,একদিন,O
,পাশর,O
,গেরাম,B-LOC
,অত,O
,যাই,O
,টুফি,B-OBJ
,বেচের,O
Sentence: 509,ইবা,O
,রাস্তা,B-LOC
,দি,O
,তার,O
,গেরাম,B-LOC
,অর,O
,ইক্কা,O
,ফিরের,O
Sentence: 510,এত্তে,O
,ডাহদ্দি,O
,ওজ্ঞা,O
,ইয়াল,B-ANI
,যার,O
Sentence: 511,আঁরে,O
,এডে,O
,লই,O
,য,O
Sentence: 512,এরফর,O
,অইতে,O
,ইতারা,O
,দুইজন,O
,সব্জি,B-LOC
,বাগানত,I-LOC
,যায়,O
,এরে,O
,ফেট,O
,বরি,O
,হানা,O
,হাইতো,O
Sentence: 513,এহন,O
,তুঁই,O
,গান,O
,গাইত,O
,ন,O
,ফারিবা,O
Sentence: 514,আঁই,O
,গান,O
,গাইতো,O
,চাই,O
Sentence: 515,এহন,O
,যদি,O
,তুঁই,O
,গান,O
,গ,O
,তইলে,O
,চাষি,B-ROLE
,ফুনিবো,O
Sentence: 516,এদ্দিন,O
,নদীর,B-LOC
,দারোত,O
,ওজ্ঞা,O
,গাচঅত,O
,দারগোয়া,B-OBJ
,হাডিবার,O
,সময়,O
,তার,O
,কুরইল্লান,B-OBJ
,নদির,B-LOC
,ফানির,I-LOC
,মাযে,O
,ফইরগই,O
Sentence: 517,আঁত্তুন,O
,নিল,B-COL
,আসসান,O
,চাইতো,O
,গম,O
,লাগে,O
Sentence: 518,তোঁয়ার,O
,কি,O
,নিল,B-COL
,আসসান,O
,চাইতো,O
,গম,O
,লাগে,O
,নে,O
Sentence: 519,আঁত্তুন,O
,ফরিক্কা,O
,দিতো,O
,এব্বেরেও,O
,গম,O
,ন,O
,লাগে,O
Sentence: 520,অনরতুন,O
,কি,O
,ফরিক্কা,O
,দিতে,O
,গম,O
,লাগে,O
,নে,O
Sentence: 521,অনে,O
,কেন,O
,আচন,O
Sentence: 522,আঁই,O
,গম,O
,আচি,O
Sentence: 523,কি,O
,গরন,O
,দে,O
,অনে,O
,এহন,O
Sentence: 524,আঁই,O
,ওজ্ঞা,O
,বই,B-OBJ
,ফরির,O
Sentence: 525,অনে,O
,কি,O
,অন্যান্য,O
,বই,B-OBJ
,ফরন,O
,নে,O
Sentence: 526,তুঁই,O
,কি,O
,সরকারি,O
,চঅরি,O
,গরর,O
,দে,O
,নে,O
Sentence: 527,আঁই,O
,একযন,O
,সরকারি,B-ROLE
,কর্মকর্তা,I-ROLE
Sentence: 528,তুঁই,O
,কি,O
,চ,O
,অরি,O
,গরর,O
,দে,O
,নে,O
Sentence: 529,আঁই,O
,একযন,O
,ফ্রফেশনাল,B-ROLE
,ব্লগার,I-ROLE
,হিসাবে,O
,হায,O
,গরির,O
Sentence: 530,তুঁই,O
,হডে,O
,চ,O
,অরি,O
,গরর,O
,দে,O
Sentence: 531,দুরে,O
,হনোমিক্কা,O
,যেডে,O
,হনকিয়াই,O
,নেই,O
Sentence: 532,আঁই,O
,কা,O
,এগাযা,O
,হস্ট,O
,ফাই,O
Sentence: 533,আঁর,O
,বালোবাসায়,O
,হম,O
,কি,O
,আচিল,O
Sentence: 534,ইতারা,O
,তিন,O
,বাই,B-REL
,আচিল,O
,কিন্তু,O
,তারার,O
,মাযে,O
,মিল,O
,ন,O
,আচিল,O
Sentence: 535,অনে,O
,আঁর,O
,লই,O
,এন,O
,গরি,O
,হতা,O
,হইত,O
,ন,O
,ফারঅন,O
Sentence: 536,অনে,O
,বউত,O
,বালা,O
,মানুষ,O
Sentence: 537,আঁরা,O
,ডাহা,B-LOC
,তাকি,O
Sentence: 538,আঁই,O
,ডাহার,B-LOC
,মিরফুর,I-LOC
,তাকি,O
Sentence: 539,আঁই,O
,ইবার,O
,চকোর,O
,মায়াত,O
,ফইরগি,O
Sentence: 540,ইবার,O
,আসি,O
,বউত,O
,সুন্দর,O
Sentence: 541,ইবা,O
,ইবার,O
,ফরিবার,O
,অরে,O
,বালবাসে,O
Sentence: 542,এবার,O
,লাই,O
,আঁই,O
,বেজ্ঞিন,O
,গরিত,O
,ফারি,O
Sentence: 543,আঁই,O
,ইবারে,O
,বালবাসি,O
Sentence: 544,ইবার,O
,চুল্লিন,O
,বউত,O
,লম্বা,O
Sentence: 545,ইবারে,O
,হাযল,B-OBJ
,দিলে,O
,বউত,O
,বালা,O
,লাগে,O
Sentence: 546,তুঁই,O
,কি,O
,আঁরে,O
,বালা,O
,ন,O
,বাসো,O
Sentence: 547,তুঁই,O
,ন,O
,কা,O
,বুযো,O
Sentence: 548,ইবা,O
,গান,O
,গাইতো,O
,ফচন্দ,O
,গরে,O
Sentence: 549,ইতে,O
,যে,O
,মাইফোয়া,O
,ওয়ারে,O
,বালাবাসে,O
,মাইফোয়া,O
,এবা,O
,ডাহা,B-LOC
,তাকে,O
Sentence: 550,অনে,O
,যে,O
,ফোয়ারে,O
,বালবাসোন,O
,ফোয়াইবা,O
,কি,O
,অনোরে,O
,বালবাসেনে,O
Sentence: 551,ইতে,O
,এক্কান,O
,গারি,B-OBJ
,চুরি,O
,গইরগে,O
Sentence: 552,আঁই,O
,তোয়াঁর,O
,ফোয়ারে,O
,পিতিবি,B-LOC
,গুরি,O
,আইতো,O
,চাই,O
Sentence: 553,কিন্তু,O
,আঁই,O
,ত,O
,তোঁয়ার,O
,ফোয়ারে,O
,ন,O
,যাইয়্যুম,O
Sentence: 554,তোঁয়ার,O
,হতা,O
,ফুনি,O
,কুব,O
,গম,O
,লাইজ্ঞে,O
Sentence: 555,তোঁয়াত্তুন,O
,গম,O
,ন,O
,লাগিলে,O
,কিচু,O
,গরার,O
,নাই,O
Sentence: 556,চবি,O
,তোলার,O
,ফর,O
,আঁরে,O
,কেন,O
,লাগে,O
Sentence: 557,আঁই,O
,আযিয়া,O
,বউদ্দিন,O
,ফর,O
,ইবার,O
,লই,O
,হতা,O
,হইয়্যি,O
Sentence: 558,ইবা,O
,দেইক্তে,O
,বউত,O
,সুন্দর,O
Sentence: 559,কিন্তু,O
,সুন্দইর্যই,O
,বেজ্ঞিন,O
,নই,O
Sentence: 560,ইবার,O
,চোক,O
,অরিনর,O
,নান,O
Sentence: 561,ওজ্ঞা,O
,মাইয়্যা,O
,আর,O
,ওজ্ঞা,O
,ফোয়া,O
,এক্কোফোয়ারে,O
,কেলা,O
,হার,O
Sentence: 562,হালা,B-COL
,কুত্তাইবা,B-ANI
,কেরঅর,O
,মাযে,O
,দুরের,O
Sentence: 563,ওজ্ঞা,O
,হালা,B-COL
,কুত্তা,B-ANI
,কের,O
,অর,O
,মাযে,O
,দুরের,O
Sentence: 564,ওজ্ঞা,O
,গুরা,O
,কালা,B-COL
,কুত্তা,B-ANI
,কের,O
,অর,O
,মযে,O
,লুডি,O
,তাইক্কে,O
Sentence: 565,একগাট্টি,O
,বেডিওক্কল,O
,রাস্তাত,B-LOC
,আডের,O
Sentence: 566,দর্জার,B-OBJ
,হাচে,O
,বই,O
,দুইজন,O
,গিটার,B-OBJ
,বাজার,O
Sentence: 567,ফুটফাতোত,B-LOC
,এক্কোফোয়ারে,O
,তিনযন,O
,বেডি,O
,আডের,O
Sentence: 568,আম্মুর,B-REL
,লাই,O
,বেশি,O
,ফেট,O
,ফূরের,O
Sentence: 569,আঁরার,O
,ফরিবারোত,O
,আম্মুর,B-REL
,আবদানই,O
,বেশি,O
,বলিবাঁই,O
,মনো,O
,গরি,O
Sentence: 570,তোঁয়ারার,O
,লাই,O
,তো,O
,কিচু,O
,গরিত্,O
,ন,O
,পারি,O
,উল্ডা,O
,ফরিবারগানেরে,O
,শেষ,O
,গইরগি,O
Sentence: 571,এগাযা,O
,ডরে,O
,ডরে,O
,তাকিতাম,O
,গলাদি,O
,হানা,O
,ন,O
,নামিতো,O
Sentence: 572,শেষ,O
,গরি,O
,দিইয়্যি,O
,বেজ্ঞিন,O
Sentence: 573,যদিও,O
,আঁই,O
,কমার,O
,যোগ্য,O
,নই,O
,ফাইরলে,O
,কমা,O
,গরি,O
,দি,O
,অন,O
Sentence: 574,অঁনোরার,O
,অযোগ্য,O
,ফোয়া,O
Sentence: 575,আল্লা,O
,রঅমোতর‍,O
,যর,O
,দ,O
Sentence: 576,যরর,O
,লাই,O
,ডাহা,B-LOC
,হনোমিক্কা,O
,নোয়ায,O
,ফরা,O
,অইবো,O
,নে,O
Sentence: 577,ফানির,B-FOOD
,কাই,O
,হাহাকার,O
,আর,O
,বালা,O
,ন,O
,লার,O
Sentence: 578,উত্তরাত,B-LOC
,আঁরার,O
,ববনত,B-LOC
,হনোবাবেই,O
,ফানি,O
,ন,O
,ফাইর,O
Sentence: 579,শুদু,O
,এগ্গারি,B-OBJ
,ফানি,B-FOOD
,অইলেও,O
,দুওয়া,O
,দিন,O
,চলা,O
,যাইত,O
Sentence: 580,হনোবাবেই,O
,ওয়াসা,B-ORG
,ফানি,O
,ন,O
,দের,O
Sentence: 581,কি,O
,গরিত,O
,ফারি,O
,হন,O
,এহন,O
Sentence: 582,কারোম,O
,চারা,O
,না,O
,অয়,O
,তাহা,O
,যায়,O
,কিন্তু,O
,ফানি,B-FOOD
,চারা,O
,কেনে,O
,তাকে,O
,মানুষ,O
Sentence: 583,আযিয়া,O
,জুমার,O
,দিন,O
Sentence: 584,আঁই,O
,শুক্কুরবার,O
,চঅরে,O
,চঅরে,O
,ঊডি,O
Sentence: 585,ইতে,O
,বউত,O
,বেলা,O
,গরি,O
,গুমযাই,O
Sentence: 586,ইতে,O
,আঁরে,O
,ওজ্ঞা,O
,উফার,O
,দিয়্যে,O
Sentence: 587,আযিয়া,O
,আঁর,O
,জন্মদিন,O
Sentence: 588,আঁর,O
,বয়স,O
,বেশি,O
,ন,O
Sentence: 589,ইবারতুন,O
,বেরা,O
,আঁই,O
,দেইকতে,O
,সুন্দর,O
Sentence: 590,এইবার,O
,কুরবানিত,O
,লাল,B-COL
,গরু,B-ANI
,কিন্নোম,O
Sentence: 591,বেজ্ঞিন,O
,এক্কোফোয়ারে,O
,গরা,O
,সম্বব,O
,নই,O
Sentence: 592,তুঁই,O
,বিয়া,O
,কা,O
,ন,O
,গরর,O
Sentence: 593,বালা,O
,মাইফোয়া,O
,ন,O
,ফাইর,O
Sentence: 594,গরিত,B-OBJ
,হটা,O
,বাযের,O
Sentence: 595,আযিয়া,O
,দুইরগা,O
,আঁরার,O
,দঅত,O
,আচে,O
Sentence: 596,বেজ্ঞুন,O
,কেন,O
,আচো,O
Sentence: 597,আযিয়া,O
,হত,O
,তারিক,O
Sentence: 598,মন,O
,বালা,O
,গরি,O
,বিল্লাই,O
,তোঁয়ারা,O
,কি,O
,গরো,O
Sentence: 599,আঁই,O
,মাযেমদ্যে,O
,গান,O
,ফুনি,O
Sentence: 600,আইযহাল,O
,ফরাশোনার,O
,চাপ,O
,বউত,O
,বেশি,O
Sentence: 601,তোঁয়ারা,O
,কি,O
,গল্ফর,B-OBJ
,বই,I-OBJ
,ফইরতো,O
,পচন্দ,O
,গরো,O
,নে,O
Sentence: 602,তোঁয়ারার,O
,ফ্রিয়,O
,লেকক,B-ROLE
,হন,O
Sentence: 603,আঁর,O
,ফ্রিয়,O
,লেকক,B-ROLE
,হুমায়ুন,B-PER
,আহমেদ,I-PER
Sentence: 604,ফুটবলত,B-ORG
,তোঁয়ারার,O
,প্রিয়,O
,দল,O
,হন্নান,O
Sentence: 605,ব্রাযিল,B-ORG
,ফূটবুলঅর,B-ORG
,সেরা,O
,দল,O
Sentence: 606,শুক্কুর,O
,আর,O
,শনিবার,O
,সাপ্তাহিক,O
,চুটির,O
,দিন,O
Sentence: 607,রইবার,O
,অত্তুন,O
,আঁরার,O
,বিশ্ববিদ্যালয়,B-ORG
,ক্লাস,O
,শুরু,O
Sentence: 608,তুঁই,O
,ডাহাত,B-LOC
,হডে,O
,তাকো,O
Sentence: 609,তোঁয়ারার,O
,গ্রামর,B-LOC
,বারি,I-LOC
,হডে,O
Sentence: 610,তুঁই,O
,কি,O
,আঁচুরিত,O
,যানোনে,O
Sentence: 611,তুঁই,O
,হন,O
,ক্লাসত,O
,ফরো,O
Sentence: 612,বাংলাদেশঅর,B-LOC
,ফ্রদানমন্ত্রির,B-ROLE
,নাম,O
,কি,O
Sentence: 613,বাংলাদেশঅর,B-LOC
,বর্তমান,O
,ফ্রদানমন্ত্রি,B-ROLE
,শেক,B-PER
,হাসিনা,I-PER
Sentence: 614,বউত,O
,ডঅরমানুষ,O
,অইত,O
,চায়,O
Sentence: 615,তুঁই,O
,হোন,O
,বিষয়ে,O
,ফন্না,O
,ফরঅর,O
Sentence: 616,বাইরে,O
,ফ্রচুর,O
,গরম,O
,ফরের,O
Sentence: 617,আযিয়া,O
,আরাদিন,O
,যর,O
,ফরের,O
Sentence: 618,ফেসবুক,B-ORG
,এক্কান,O
,যনোপ্রিয়,O
,যোগাযোগ,O
,মাধ্যম,O
Sentence: 619,যিবনঅত,O
,উন্নতি,O
,গইর,O
,ত,O
,গেইলে,O
,বউত,O
,সময়,O
,বউত,O
,বাঁদার,O
,মুঁকে,O
,ফরা,O
,ফরে,O
Sentence: 620,বেজ্ঞিন,O
,বাঁদা,O
,ফারঅই,O
,যিবনত,O
,সফল,O
,অওয়া,O
,ফরিব,O
Sentence: 621,আঁই,O
,চা,B-FOOD
,হাইতো,O
,পচন্দ,O
,গরি,O
Sentence: 622,তাহের,O
,বইওয়া,B-OBJ
,কি,O
,আঁরে,O
,দিত,O
,ফারিবি,O
,নি,O
Sentence: 623,তাহেররে,O
,দন্যবাদ,O
,এন,O
,বালা,O
,ওজ্ঞা,O
,বইওর,B-OBJ
,কোয,O
,দিবার,O
,লাই,O
Sentence: 624,অসাদারন,O
,অজ্ঞা,O
,বই,B-OBJ
,ফইরগি,O
Sentence: 625,এবারর,O
,চুটিত,O
,হাস্যবাজার,B-LOC
,যাইয়্যুম,O
Sentence: 626,আঁই,O
,আঁর,O
,গ্রামর,B-LOC
,বারিত,I-LOC
,যাইয়্যুম,O
,টিক,O
,গইরগি,O
Sentence: 627,গ্রামর,B-LOC
,ফ্রকিতি,O
,বউত,O
,সুন্দর,O
Sentence: 628,নদির,B-LOC
,দুই,O
,ফারর,O
,মনোরম,O
,দৃশ্যে,O
,চোক,O
,যুরায়,O
,যায়,O
Sentence: 629,তোঁয়ার,O
,মূল্যবান,O
,বক্তব্যর,O
,লাই,O
,তোঁআরে,O
,দন্যবাদ,O
Sentence: 630,তোঁয়ারার,O
,বেজ্ঞুনর,O
,দোয়া,O
,চাই,O
Sentence: 631,সময়,O
,যেন,O
,আযিয়া,O
,ন,O
,অদ্দো,O
,হাডের,O
Sentence: 632,গুরা,O
,তাইক্তে,O
,লতি,O
,আঁর,O
,সাইরকল,B-OBJ
,চালানোর,O
,অব্যাস,O
Sentence: 633,স্কুলত,B-ORG
,ও,O
,সাইরকল,B-OBJ
,চালাই,O
,যাইতাম,O
,মাযে,O
,মাযে,O
Sentence: 634,ক্লাসত,O
,আযিয়া,O
,কিচুতেই,O
,মন,O
,ন,O
,বইয়্যের,O
Sentence: 635,চ,O
,রিতুর,O
,দেশ,B-LOC
,বাংলাদেশ,B-LOC
Sentence: 636,কাআরন,O
,চারা,O
,গর,O
,অত,O
,মোম্বাত্তি,B-OBJ
,যালাই,O
,বই,O
,আচি,O
Sentence: 637,তোঁয়ার,O
,গর,B-LOC
,অত,O
,কাআরন,O
,তাকিত,O
,ফারে,O
,এতেল্লাই,O
,ইক্কা,O
,আ,O
,গেইয়্যি,O
,গই,O
Sentence: 638,আতিক্কা,O
,কাআরন,O
,গেইয়্যুই,O
Sentence: 639,আদুনিক,O
,সব্যতারে,O
,বিজ্ঞান,O
,বউত,O
,কিচু,O
,উফহার,O
,দিয়্যে,O
Sentence: 640,কম্ফিটার,B-OBJ
,আদুনিক,O
,বিজ্ঞান,O
,যগতরে,O
,গমগরি,O
,সহয,O
,গরি,O
,দিয়ে,O
Sentence: 641,বাংলাদেশ,B-LOC
,গেরাম,O
,প্রদান,O
,দেশ,B-LOC
Sentence: 642,আঁরার,O
,গেরামর,B-LOC
,যনসংক্যা,O
,ফেরায়,O
,চের,O
,হাযার,O
Sentence: 643,বিলাইর,B-ANI
,ফ্রিয়,O
,হানা,O
,দুধ,B-FOOD
Sentence: 644,বিলাই,B-ANI
,বউত,O
,আরাম,O
,ফ্রিয়,O
,ফ্রানি,O
Sentence: 645,বাংলাদেশর,B-LOC
,যনসংখ্যার,O
,অদ্দকই,O
,নারি,O
Sentence: 646,কিচঅর,B-OBJ
,বেবার,O
,মারাত্মক,O
,রোগর,O
,সৃস্টি,O
,গরিত,O
,ফারে,O
Sentence: 647,ইলিশ,B-FOOD
,আঁর,O
,ফ্রিয়,O
,মাচ,B-FOOD
Sentence: 648,ফদ্দার,B-LOC
,ইলিশ,B-FOOD
,হাইতো,O
,বউত,O
,সাদ,O
Sentence: 649,বেস্ত,O
,এক্কান,O
,দিন,O
,হাডাইয়্যি,O
Sentence: 650,রাইতর,B-FOOD
,হানা,I-FOOD
,হাইয়্যেরেই,O
,গুম,O
,গেয়্যিগই,O
Sentence: 651,এহন,O
,ফইরত,O
,বইসসম,O
Sentence: 652,বেজ্ঞুনর,O
,তুন,O
,বিদায়,O
,লইর,O
Sentence: 653,আবার,O
,দেহা,O
,অইব,O
Sentence: 654,বাংলাদেশঅত,B-LOC
,বিবিন্ন,O
,দূর্যোগফ্রবন,O
,আঞ্চল,O
,আচে,O
Sentence: 655,বিষয়য়ান,O
,আসলে,O
,দুচ্চিন্তার,O
Sentence: 656,ফইর,O
,ত,O
,মনে,O
,ন,O
,হর,O
,আযিয়া,O
Sentence: 657,তোঁয়ার,O
,ফ্রিয়,O
,বিষয়,O
,কি,O
Sentence: 658,তোঁয়াত্তুন,O
,গণিত,O
,কেন,O
,লাগে,O
Sentence: 659,আঁই,O
,ফরাশোনাত,O
,কেঁচা,O
Sentence: 660,আঁরে,O
,বেজ্ঞুনে,O
,এক,O
,নামে,O
,চিনে,O
Sentence: 661,তুঁই,O
,কি,O
,গেইলা,O
,নে,O
Sentence: 662,তুঁয়ার,O
,ফ্রিয়,O
,সব্জি,B-FOOD
,কি,O
Sentence: 663,আঁর,O
,ফ্রিয়,O
,সব্জি,B-FOOD
,টমেটো,B-FOOD
Sentence: 664,চলো,O
,এক্কোফোয়ারে,O
,গান,O
,গাই,O
Sentence: 665,চলো,O
,এক্কোফোয়ারে,O
,মাছ,B-FOOD
,দরি,O
Sentence: 666,অনে,O
,অনর,O
,ফরিবারসহ,O
,আঁরার,O
,বাসাত,O
,আইবান,O
Sentence: 667,তুঁই,O
,কি,O
,আঁরে,O
,আগে,O
,দেইক্কো,O
,নে,O
Sentence: 668,আঁর,O
,ফোয়ারে,O
,নাচিবা,O
,নে,O
Sentence: 669,তোঁয়ার,O
,ফ্রিয়,O
,গান,O
,হনওয়া,O
Sentence: 670,তোয়ার,O
,ফ্রিয়,O
,গায়ক,B-ROLE
,হন,O
Sentence: 671,হালিয়া,O
,গুন্ডি,B-OBJ
,উরাইয়ুম,O
Sentence: 672,তুঁই,O
,কি,O
,আঁরে,O
,বালবাসো,O
,নে,O
Sentence: 673,আডো,O
,গুন্ডি,B-OBJ
,উরাই,O
Sentence: 674,আঁই,O
,গুরা,O
,তাইক্তে,O
,বউত,O
,মেধাবী,O
,আচিলাম,O
Sentence: 675,আঁর,O
,নৌকাত,B-OBJ
,গুইরতো,O
,বউত,O
,ভালা,O
,লাগে,O
Sentence: 676,জাইল্লা,B-ROLE
,অক্কল,O
,মাচ,B-FOOD
,দরের,O
Sentence: 677,আঁই,O
,আম,B-FOOD
,হাইয়্যুম,O
Sentence: 678,আম,B-FOOD
,আঁর,O
,ফ্রিয়,O
,ফল,B-FOOD
Sentence: 679,আযিয়া,O
,তোঁয়ার,O
,বাইর,B-REL
,দেইক্কি,O
Sentence: 680,তোঁয়ার,O
,গানওর,O
,গলা,O
,বউত,O
,বালা,O
Sentence: 681,আঁই,O
,তোঁয়ার,O
,আসির,O
,ফ্রেমত,O
,ফইরগি,O
Sentence: 682,তোঁয়ার,O
,ফরিবারওত,O
,হন,O
,হন,O
,আচে,O
Sentence: 683,আঁই,O
,তোয়ার,O
,বাদামী,B-COL
,চোখ,O
,যোরা,O
,বালবাসি,O
Sentence: 684,তুঁই,O
,বিয়া,O
,গরিবা,O
,হতো,O
,বছর,O
,বয়সত,O
Sentence: 685,ক্রিকেট,O
,কেলা,O
,তোঁয়ারত্তুন,O
,কেন,O
,লাগে,O
Sentence: 686,আঁর,O
,এফফোডাও,O
,গম,O
,ন,O
,লার,O
Sentence: 687,আঁর,O
,বউত,O
,বালা,O
,লাগে,O
Sentence: 688,তোঁয়ার,O
,বাবা,B-REL
,কি,O
,গরে,O
Sentence: 689,তোঁয়ার,O
,বাই,B-REL
,চঁঅরি,O
,হডে,O
,গরে,O
Sentence: 690,আঁই,O
,কুরার,B-FOOD
,গোস্ত,I-FOOD
,বেশি,O
,পচন্দ,O
,গরি,O
Sentence: 691,তুঁই,O
,কি,O
,হাইতো,O
,পচন্দ,O
,গরো,O
Sentence: 692,আঁই,O
,ইচা,B-FOOD
,মাচ,I-FOOD
,হাইতো,O
,পচন্দ,O
,গরি,O
Sentence: 693,আঁই,O
,তোঁয়ার,O
,ফোয়ারে,O
,রাতিয়া,O
,দইরগার,B-LOC
,চর,B-LOC
,অত,O
,তিয়ায়,O
,তাইক্তো,O
,চাই,O
Sentence: 694,আযিয়া,O
,তোঁয়ারে,O
,চাইত,O
,আইবো,O
Sentence: 695,না,O
,গরি,O
,দিও,O
,ফোয়া,B-REL
,পক্ক,I-REL
,রে,O
Sentence: 696,আঁই,O
,না,O
,গরিত,O
,ন,O
,পাইরগম,O
Sentence: 697,তোঁয়াত্তুন,O
,মনে,O
,হইলে,O
,না,O
,গরি,O
,দ,O
,গই,O
Sentence: 698,আঁরে,O
,ওজ্ঞা,O
,গান,O
,ফুনাইবা,O
Sentence: 699,তুঁই,O
,কি,O
,কিচ্চা,O
,লিকো,O
Sentence: 700,চা,B-FOOD
,নাকি,O
,কপি,B-FOOD
,হন্নান,O
,বেশি,O
,পচন্দ,O
Sentence: 701,আঁর,O
,কপি,B-FOOD
,বেশি,O
,পচন্দ,O
Sentence: 702,আঁই,O
,তোয়ারে,O
,বালবাসি,O
Sentence: 703,যরর,O
,দিনত,O
,রিস্কাত,B-OBJ
,গুইরতো,O
,বালা,O
,লাগে,O
Sentence: 704,যরর,O
,দিনঅত,O
,গরম,O
,গরম,O
,কিচুরি,B-FOOD
,আর,O
,গরু,B-FOOD
,গোস্ত,I-FOOD
,হাইত,O
,গম,O
,লাগে,O
Sentence: 705,যরর,O
,দিনঅত,O
,চা,B-FOOD
,হাইত,O
,গম,O
,লাগে,O
Sentence: 706,আঁই,O
,চবি,O
,তুইলত,O
,পচন্দ,O
,গরি,O
Sentence: 707,আঁরে,O
,ওজ্ঞা,O
,বই,B-OBJ
,উফাহর,O
,দিও,O
Sentence: 708,মানষ,O
,বাস্তবে,O
,বরই,O
,অদবুত,O
Sentence: 709,আযিয়া,O
,আঁই,O
,চাতি,B-OBJ
,আইনতো,O
,বুলি,O
,গেইয়্যি,O
,ফেলায়্যি,O
Sentence: 710,রাস্তাত,O
,আযিয়া,O
,বউত,O
,মানুষ,O
Sentence: 711,আঁর,O
,হালা,B-COL
,যামা,B-OBJ
,নাই,O
Sentence: 712,আঁর,O
